Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Initial,Age_band,Alone,Family_Size
0,3,0,1,0,2.1102132003465894,0,0,1,0,1
1,1,1,1,0,4.2805931204649,1,1,2,0,1
1,3,1,0,0,2.1888563276657025,0,2,1,1,0
1,1,1,1,0,3.9908341858524357,0,1,2,0,1
0,3,0,0,0,2.2027647577118348,0,0,2,1,0
0,3,0,0,0,2.246892662898172,2,0,2,1,0
0,1,0,0,0,3.9676942027986066,0,0,3,1,0
0,3,0,3,1,3.0944457464900235,0,3,0,0,4
1,3,1,0,2,2.495953738718064,0,1,1,0,2
1,2,1,1,0,3.436268471383741,1,1,0,0,1
1,3,1,1,1,2.8735646395797834,0,2,0,0,2
1,1,1,0,0,3.3160025355989236,0,2,3,1,0
0,3,0,0,0,2.2027647577118348,0,0,1,1,0
0,3,0,1,5,3.4742929367327062,0,0,2,0,6
0,3,1,0,0,2.180891922715322,0,2,0,1,0
1,2,1,0,0,2.833213344056216,0,1,3,1,0
0,3,0,4,1,3.405355391810819,2,3,0,0,5
1,2,0,0,0,2.6390573296152584,0,0,2,1,0
0,3,1,1,0,2.9444389791664403,0,1,1,0,1
1,3,1,0,0,2.1071782966514356,1,1,2,1,0
0,2,0,0,0,3.295836866004329,0,0,2,1,0
1,2,0,0,0,2.6390573296152584,0,0,2,1,0
1,3,1,0,0,2.2004637699272855,2,2,0,1,0
1,1,0,0,0,3.5973122605884456,0,0,1,1,0
0,3,1,3,1,3.0944457464900235,0,2,0,0,4
1,3,1,1,5,3.4777725458882283,0,1,2,0,6
0,3,0,0,0,2.1071782966514356,1,0,2,1,0
0,1,0,3,2,5.575949103146316,0,0,1,0,5
1,3,1,0,0,2.1837114628556327,2,2,1,1,0
0,3,0,0,0,2.1855792552411137,0,0,2,1,0
0,1,0,0,0,3.357621598945279,1,0,2,1,0
1,1,1,1,0,4.993969182787072,1,1,2,0,1
1,3,1,0,0,2.169053700369523,2,2,1,1,0
0,2,0,0,0,2.4423470353692043,0,0,4,1,0
0,1,0,1,0,4.420896324687287,1,0,1,0,1
0,1,0,1,0,3.9702919135521215,0,0,2,0,1
1,3,0,0,0,2.1076888046179385,1,0,2,1,0
0,3,0,0,0,2.2027647577118348,0,0,1,1,0
0,3,1,2,0,2.9444389791664403,0,2,1,0,2
1,3,1,1,0,2.5048481563289,1,2,0,0,1
0,3,1,1,0,2.348991465808201,0,1,2,0,1
0,2,1,1,0,3.0910424533583156,0,1,1,0,1
0,3,0,0,0,2.1855792552411137,1,0,2,1,0
1,2,1,1,2,3.7513658711253766,1,2,0,0,3
1,3,1,0,0,2.1837114628556327,2,2,1,1,0
0,3,0,0,0,2.2027647577118348,0,0,2,1,0
0,3,0,1,0,2.803360380906535,2,0,2,0,1
1,3,1,0,0,2.169053700369523,2,2,1,1,0
0,3,0,2,0,3.1214482048688246,1,0,2,0,2
0,3,1,1,0,2.9338568698359033,0,1,1,0,1
0,3,0,4,1,3.7059209199687877,0,3,0,0,5
0,3,0,0,0,2.1747517214841605,0,0,1,1,0
1,1,1,1,0,4.353230991152628,1,1,3,0,1
1,2,1,1,0,3.295836866004329,0,1,1,0,1
0,1,0,0,1,4.142804513146981,1,0,4,0,1
1,1,0,0,0,3.5973122605884456,0,0,2,1,0
1,2,1,0,0,2.4423470353692043,0,2,1,1,0
0,3,0,0,0,2.1076888046179385,1,0,1,1,0
1,2,1,1,2,3.3586377672433594,0,2,0,0,3
0,3,0,5,2,3.8691155044168695,0,3,0,0,7
0,3,0,0,0,2.1076888046179385,1,0,1,1,0
1,1,1,0,0,4.394449154672438,0,2,2,1,0
0,1,0,1,0,4.436455632600353,0,0,2,0,1
0,3,0,3,2,3.3638415951183864,0,3,0,0,5
0,1,0,0,0,3.357621598945279,1,0,2,1,0
1,3,0,1,1,2.787834413830345,1,3,0,0,2
1,2,1,0,0,2.4423470353692043,0,1,1,1,0
0,3,0,0,0,2.214660571942522,0,0,1,1,0
1,3,1,4,2,2.1888563276657025,0,2,1,0,6
0,3,0,2,0,2.2682524139135403,0,0,1,0,2
0,2,0,0,0,2.4423470353692043,0,0,1,1,0
0,3,1,5,2,3.8691155044168695,0,2,0,0,7
0,2,0,0,0,4.310799125385514,0,0,1,1,0
0,3,0,1,0,2.737880811060884,1,0,1,0,1
1,3,0,0,0,4.051711901657239,0,0,1,1,0
0,3,0,0,0,2.157559320943788,0,0,1,1,0
0,3,0,0,0,2.1855792552411137,0,0,2,1,0
0,3,0,0,0,2.2027647577118348,0,0,2,1,0
1,2,0,0,2,3.4011973816621555,0,3,0,0,2
1,3,1,0,0,2.600836116795061,0,2,1,1,0
0,3,0,0,0,2.3025850929940455,0,0,1,1,0
1,3,0,0,0,2.3513752571634776,0,0,1,1,0
1,3,1,0,0,2.173330257136783,2,2,1,1,0
0,1,0,0,0,3.873282177111715,0,0,1,1,0
1,2,1,0,0,2.4423470353692043,0,2,1,1,0
1,3,1,3,0,2.8243506567983707,0,1,2,0,3
0,3,0,1,3,3.5660053559634015,0,0,0,0,4
0,3,0,0,0,2.2027647577118348,0,0,2,1,0
1,1,1,3,2,5.575949103146316,0,2,1,0,5
0,3,0,0,0,2.2027647577118348,0,0,1,1,0
0,3,0,0,0,2.2027647577118348,0,0,1,1,0
0,3,0,0,0,2.180891922715322,0,0,1,1,0
0,1,0,1,0,4.1299529896894684,0,0,2,0,1
0,3,0,1,2,3.0715352369694915,0,0,1,0,3
0,3,0,0,0,2.1102132003465894,0,0,3,1,0
0,3,0,0,0,2.2027647577118348,0,0,2,1,0
0,1,0,0,0,3.57386695198272,1,0,4,1,0
1,1,0,0,1,4.164465907853638,1,0,1,0,1
1,2,1,0,1,3.1780538303479453,0,1,2,0,1
0,2,0,1,0,3.295836866004329,0,0,2,0,1
0,3,1,0,0,2.1855792552411137,0,2,1,1,0
0,3,0,0,0,2.1855792552411137,0,0,2,1,0
0,1,0,0,1,4.360387947851531,0,0,1,0,1
0,3,0,0,0,2.267393053825037,0,0,2,1,0
0,3,0,2,0,2.1888563276657025,0,0,2,0,2
0,3,0,0,0,2.1855792552411137,0,0,1,1,0
1,3,1,0,0,2.157559320943788,0,2,1,1,0
1,3,0,0,0,2.1719067693519296,0,0,2,1,0
0,3,0,0,0,2.1855792552411137,0,0,2,1,0
1,3,1,1,0,3.224857896545748,2,2,1,0,1
0,1,0,0,0,3.9702919135521215,0,0,2,1,0
0,3,1,1,0,2.737880811060884,1,2,0,0,1
0,3,0,0,0,2.2027647577118348,0,0,1,1,0
0,3,1,1,0,2.3818582738885534,0,2,1,0,1
0,3,1,0,0,2.738146075922933,1,2,1,1,0
0,3,0,0,0,2.1888563276657025,0,0,1,1,0
0,3,0,0,0,2.169053700369523,2,0,4,1,0
0,2,0,1,0,3.0910424533583156,0,0,1,0,1
0,1,0,0,1,5.515526544247128,1,0,1,0,1
0,3,1,4,2,3.4742929367327062,0,2,0,0,6
0,2,0,2,0,4.310799125385514,0,0,1,0,2
0,3,0,0,0,2.2027647577118348,0,0,2,1,0
0,2,0,1,0,3.436268471383741,1,0,2,0,1
1,2,1,0,0,2.6390573296152584,0,2,2,1,0
0,1,0,0,1,4.360387947851531,0,0,3,0,1
1,3,0,1,0,2.5048481563289,1,3,0,0,1
0,3,0,0,0,2.169053700369523,2,0,2,1,0
1,3,0,0,0,2.096999003418169,0,0,1,1,0
1,3,1,1,1,3.1509523813392697,1,2,1,0,2
0,3,0,0,0,2.076311648670908,0,0,2,1,0
0,3,0,0,0,2.1855792552411137,1,0,2,1,0
0,3,0,0,0,2.085672091430472,0,0,1,1,0
0,3,1,1,0,2.740840023925201,0,1,2,0,1
1,2,1,1,0,3.295836866004329,0,1,1,0,1
0,2,0,0,0,2.6390573296152584,0,0,1,1,0
0,2,0,0,0,2.7754471330882615,1,0,1,1,0
1,1,1,0,2,3.3062747934011893,0,2,1,0,2
0,1,0,1,0,3.9908341858524357,0,0,2,0,1
0,3,0,0,0,2.3240236363515288,0,0,0,1,0
0,1,0,0,0,4.384523514872469,1,0,1,1,0
0,3,1,0,2,2.787834413830345,1,1,2,0,2
1,3,1,0,0,2.169053700369523,0,2,1,1,0
1,3,1,1,0,2.8243506567983707,0,1,1,0,1
0,3,0,0,0,2.0476928433652555,2,0,1,1,0
0,2,0,0,0,2.525728644308255,0,0,1,1,0
0,2,0,1,1,3.6309854756950335,0,0,1,0,2
1,3,0,0,0,2.174274334826008,0,0,1,1,0
0,3,1,2,2,3.5660053559634015,0,2,0,0,4
0,2,0,0,2,3.295836866004329,0,0,2,0,2
0,2,0,0,0,2.6390573296152584,0,4,2,1,0
0,2,0,0,0,2.6045398247325453,0,4,3,1,0
1,1,1,1,0,4.213607983048918,0,1,1,0,1
0,3,0,0,0,2.2027647577118348,0,0,3,1,0
0,3,0,0,2,2.740840023925201,0,0,2,0,2
0,3,0,0,0,2.1177604059819726,0,0,2,1,0
0,1,0,0,1,4.133231886474144,1,0,3,0,1
1,3,1,0,0,2.167143305297764,2,2,0,1,0
0,3,0,0,0,2.2027647577118348,0,0,1,1,0
0,3,0,0,0,2.2682524139135403,0,0,2,1,0
